"id","code","name","city_id"
"227","140121","清徐县","706"
"228","140122","阳曲县","706"
"229","140123","娄烦县","706"
"230","140181","古交市","706"
"231","140201","市辖区","707"
"232","140202","城　区","707"
"233","140203","矿　区","707"
"234","140211","南郊区","707"
"235","140212","新荣区","707"
"236","140221","阳高县","707"
"237","140222","天镇县","707"
"238","140223","广灵县","707"
"239","140224","灵丘县","707"
"240","140225","浑源县","707"
"241","140226","左云县","707"
"242","140227","大同县","707"
"243","140301","市辖区","708"
"244","140302","城　区","708"
"245","140303","矿　区","708"
"246","140311","郊　区","708"
"247","140321","平定县","708"
"248","140322","盂　县","708"
"249","140401","市辖区","709"
"250","140402","城　区","709"
"251","140411","郊　区","709"
"252","140421","长治县","709"
"253","140423","襄垣县","709"
"254","140424","屯留县","709"
"255","140425","平顺县","709"
"256","140426","黎城县","709"
"257","140427","壶关县","709"
"258","140428","长子县","709"
"259","140429","武乡县","709"
"260","140430","沁　县","709"
"261","140431","沁源县","709"
"262","140481","潞城市","709"
"263","140501","市辖区","710"
"264","140502","城　区","710"
"265","140521","沁水县","710"
"266","140522","阳城县","710"
"267","140524","陵川县","710"
"268","140525","泽州县","710"
"269","140581","高平市","710"
"270","140601","市辖区","711"
"271","140602","朔城区","711"
"272","140603","平鲁区","711"
"273","140621","山阴县","711"
"274","140622","应　县","711"
"275","140623","右玉县","711"
"276","140624","怀仁县","711"
"277","140701","市辖区","712"
"278","140702","榆次区","712"
"279","140721","榆社县","712"
"280","140722","左权县","712"
"281","140723","和顺县","712"
"282","140724","昔阳县","712"
"283","140725","寿阳县","712"
"284","140726","太谷县","712"
"285","140727","祁　县","712"
"286","140728","平遥县","712"
"287","140729","灵石县","712"
"288","140781","介休市","712"
"289","140801","市辖区","713"
"290","140802","盐湖区","713"
"291","140821","临猗县","713"
"292","140822","万荣县","713"
"293","140823","闻喜县","713"
"294","140824","稷山县","713"
"295","140825","新绛县","713"
"296","140826","绛　县","713"
"297","140827","垣曲县","713"
"298","140828","夏　县","713"
"299","140829","平陆县","713"
"300","140830","芮城县","713"
"301","140881","永济市","713"
"302","140882","河津市","713"
"303","140901","市辖区","714"
"304","140902","忻府区","714"
"305","140921","定襄县","714"
"306","140922","五台县","714"
"307","140923","代　县","714"
"308","140924","繁峙县","714"
"309","140925","宁武县","714"
"310","140926","静乐县","714"
"311","140927","神池县","714"
"312","140928","五寨县","714"
"313","140929","岢岚县","714"
"314","140930","河曲县","714"
"315","140931","保德县","714"
"316","140932","偏关县","714"
"317","140981","原平市","714"
"318","141001","市辖区","715"
"319","141002","尧都区","715"
"320","141021","曲沃县","715"
"321","141022","翼城县","715"
"322","141023","襄汾县","715"
"323","141024","洪洞县","715"
"324","141025","古　县","715"
"325","141026","安泽县","715"
"326","141027","浮山县","715"
"327","141028","吉　县","715"
"328","141029","乡宁县","715"
"329","141030","大宁县","715"
"330","141031","隰　县","715"
"331","141032","永和县","715"
"332","141033","蒲　县","715"
"333","141034","汾西县","715"
"334","141081","侯马市","715"
"335","141082","霍州市","715"
"336","141101","市辖区","716"
"337","141102","离石区","716"
"338","141121","文水县","716"
"339","141122","交城县","716"
"340","141123","兴　县","716"
"341","141124","临　县","716"
"342","141125","柳林县","716"
"343","141126","石楼县","716"
"344","141127","岚　县","716"
"345","141128","方山县","716"
"346","141129","中阳县","716"
"347","141130","交口县","716"
"348","141181","孝义市","716"
"349","141182","汾阳市","716"
"350","150101","市辖区","717"
"351","150102","新城区","717"
"352","150103","回民区","717"
"353","150104","玉泉区","717"
"354","150105","赛罕区","717"
"355","150121","土默特左旗","717"
"356","150122","托克托县","717"
"357","150123","和林格尔县","717"
"358","150124","清水河县","717"
"359","150125","武川县","717"
"360","150201","市辖区","718"
"361","150202","东河区","718"
"362","150203","昆都仑区","718"
"363","150204","青山区","718"
"364","150205","石拐区","718"
"365","150206","白云矿区","718"
"366","150207","九原区","718"
"367","150221","土默特右旗","718"
"368","150222","固阳县","718"
"369","150223","达尔罕茂明安联合旗","718"
"370","150301","市辖区","719"
"371","150302","海勃湾区","719"
"372","150303","海南区","719"
"373","150304","乌达区","719"
"374","150401","市辖区","720"
"375","150402","红山区","720"
"376","150403","元宝山区","720"
"377","150404","松山区","720"
"378","150421","阿鲁科尔沁旗","720"
"379","150422","巴林左旗","720"
"380","150423","巴林右旗","720"
"381","150424","林西县","720"
"382","150425","克什克腾旗","720"
"383","150426","翁牛特旗","720"
"384","150428","喀喇沁旗","720"
"385","150429","宁城县","720"
"386","150430","敖汉旗","720"
"387","150501","市辖区","721"
"388","150502","科尔沁区","721"
"389","150521","科尔沁左翼中旗","721"
"390","150522","科尔沁左翼后旗","721"
"391","150523","开鲁县","721"
"392","150524","库伦旗","721"
"393","150525","奈曼旗","721"
"394","150526","扎鲁特旗","721"
"395","150581","霍林郭勒市","721"
"396","150602","东胜区","722"
"397","150621","达拉特旗","722"
"398","150622","准格尔旗","722"
